Date,Price
12/26/2021,"47,755.0"
12/19/2021,"50,437.0"
12/12/2021,"46,879.0"
12/05/2021,"49,363.1"
11/28/2021,"49,272.0"
11/21/2021,"54,836.0"
11/14/2021,"59,739.0"
11/07/2021,"64,406.0"
10/31/2021,"61,496.0"
10/24/2021,"61,838.8"
10/17/2021,"61,302.0"
10/10/2021,"60,867.5"
10/03/2021,"54,978.0"
09/26/2021,"47,675.0"
09/19/2021,"42,711.0"
09/12/2021,"48,309.0"
09/05/2021,"45,169.0"
08/29/2021,"49,899.0"
08/22/2021,"48,914.0"
08/15/2021,"48,868.0"
08/08/2021,"47,084.0"
08/01/2021,"44,589.0"
07/25/2021,"41,409.0"
07/18/2021,"33,845.0"
07/11/2021,"31,559.0"
07/04/2021,"33,506.0"
06/27/2021,"34,758.0"
06/20/2021,"32,359.0"
06/13/2021,"35,585.8"
06/06/2021,"35,531.0"
05/30/2021,"35,543.0"
05/23/2021,"34,570.0"
05/16/2021,"37,585.0"
05/09/2021,"46,784.9"
05/02/2021,"58,894.0"
04/25/2021,"57,774.0"
04/18/2021,"50,167.0"
04/11/2021,"59,970.0"
04/04/2021,"59,823.8"
03/28/2021,"57,023.0"
03/21/2021,"55,886.0"
03/14/2021,"58,087.0"
03/07/2021,"61,207.0"
02/28/2021,"48,895.0"
02/21/2021,"46,217.0"
02/14/2021,"55,838.0"
02/07/2021,"47,177.0"
01/31/2021,"39,257.0"
01/24/2021,"34,334.0"
01/17/2021,"32,099.0"
01/10/2021,"36,055.0"
01/03/2021,"40,171.0"
12/27/2020,"32,185.0"
12/20/2020,"26,412.0"
12/13/2020,"23,804.0"
12/06/2020,"18,810.6"
11/29/2020,"19,157.0"
11/22/2020,"17,746.0"
11/15/2020,"18,660.0"
11/08/2020,"16,058.3"
11/01/2020,"14,844.1"
10/25/2020,"13,788.0"
10/18/2020,"13,132.0"
10/11/2020,"11,375.0"
10/04/2020,"11,308.0"
09/27/2020,"10,558.6"
09/20/2020,"10,750.0"
09/13/2020,"11,099.0"
09/06/2020,"10,458.0"
08/30/2020,"10,197.0"
08/23/2020,"11,492.0"
08/16/2020,"11,685.0"
08/09/2020,"11,873.4"
08/02/2020,"11,764.0"
07/26/2020,"11,804.7"
07/19/2020,"9,714.9"
07/12/2020,"9,189.1"
07/05/2020,"9,246.3"
06/28/2020,"9,147.7"
06/21/2020,"9,015.3"
06/14/2020,"9,371.3"
06/07/2020,"9,480.8"
05/31/2020,"9,668.4"
05/24/2020,"9,706.4"
05/17/2020,"9,174.6"
05/10/2020,"9,388.0"
05/03/2020,"9,537.9"
04/26/2020,"8,982.3"
04/19/2020,"7,538.5"
04/12/2020,"7,269.1"
04/05/2020,"6,884.5"
03/29/2020,"6,881.6"
03/22/2020,"6,249.3"
03/15/2020,"6,201.8"
03/08/2020,"5,218.2"
03/01/2020,"8,919.0"
02/23/2020,"8,557.3"
02/16/2020,"9,662.4"
02/09/2020,"9,901.0"
02/02/2020,"9,877.2"
01/26/2020,"9,410.6"
01/19/2020,"8,353.7"
01/12/2020,"8,891.5"
01/05/2020,"8,013.8"
12/29/2019,"7,369.8"
12/22/2019,"7,334.4"
12/15/2019,"7,166.4"
12/08/2019,"7,100.8"
12/01/2019,"7,543.2"
11/24/2019,"7,599.9"
11/17/2019,"7,352.6"
11/10/2019,"8,523.5"
11/03/2019,"8,828.0"
10/27/2019,"9,332.1"
10/20/2019,"9,270.9"
10/13/2019,"7,992.9"
