,Price
0,"19,261.0"
1,"19,544.5"
2,"19,424.0"
3,"20,127.0"
4,"19,809.9"
5,"19,717.0"
6,"20,231.0"
7,"20,181.0"
8,"22,395.0"
9,"21,826.0"
10,"21,648.0"
11,"21,375.0"
12,"19,322.0"
13,"19,279.5"
14,"18,790.0"
15,"19,788.0"
16,"20,002.0"
17,"19,835.0"
18,"19,973.0"
19,"20,134.0"
20,"20,058.0"
21,"19,812.0"
22,"20,308.0"
23,"19,557.8"
24,"20,036.0"
25,"20,257.9"
26,"21,563.1"
27,"21,365.6"
28,"21,527.0"
29,"21,395.0"
30,"21,510.0"
31,"21,141.0"
32,"20,839.0"
33,"23,196.7"
34,"23,335.0"
35,"23,856.0"
36,"24,094.0"
37,"24,300.0"
38,"24,425.0"
39,"24,395.2"
40,"23,931.5"
41,"23,954.2"
42,"23,141.0"
43,"23,817.0"
44,"23,177.9"
45,"22,924.0"
46,"23,311.0"
47,"22,611.7"
48,"22,813.9"
49,"22,984.0"
50,"23,259.0"
51,"23,294.0"
52,"23,639.0"
53,"23,764.0"
54,"23,851.6"
55,"22,951.0"
56,"21,271.0"
57,"21,302.6"
58,"22,579.2"
59,"22,446.0"
60,"22,675.9"
61,"23,151.8"
62,"23,209.0"
63,"23,398.0"
64,"22,476.0"
65,"20,781.0"
66,"21,224.0"
67,"20,816.0"
68,"20,578.0"
69,"20,246.0"
70,"19,310.5"
71,"19,945.0"
72,"20,854.6"
73,"21,575.8"
74,"21,600.0"
75,"21,620.0"
76,"20,557.1"
77,"20,169.0"
78,"20,224.0"
79,"19,308.8"
80,"19,230.0"
81,"19,286.0"
82,"19,938.0"
83,"20,106.6"
84,"20,267.0"
85,"20,718.0"
86,"21,067.0"
87,"21,485.0"
88,"21,229.0"
89,"21,071.0"
90,"19,943.0"
91,"20,692.9"
92,"20,554.1"
93,"20,556.0"
94,"18,978.0"
95,"20,411.0"
96,"20,394.0"
97,"22,594.0"
98,"22,172.0"
99,"22,487.0"
100,"26,670.0"
101,"28,425.0"
102,"29,103.0"
103,"30,112.2"
104,"30,230.0"
105,"31,149.0"
106,"31,371.0"
107,"29,923.4"
108,"29,877.0"
109,"29,730.0"
110,"30,478.0"
111,"29,832.0"
112,"31,792.0"
113,"31,726.3"
114,"29,476.0"
115,"29,037.0"
116,"28,609.0"
117,"29,213.0"
118,"29,524.0"
119,"29,647.0"
120,"29,091.0"
121,"30,283.0"
122,"29,439.0"
123,"29,202.0"
124,"30,329.0"
125,"28,680.0"
126,"30,442.0"
127,"29,854.0"
128,"31,319.0"
129,"30,104.0"
130,"29,306.0"
131,"29,089.5"
132,"29,095.0"
133,"31,050.0"
134,"30,158.0"
135,"34,084.0"
136,"35,508.0"
137,"36,040.0"
138,"36,577.0"
139,"39,701.2"
140,"37,751.0"
141,"38,520.0"
142,"38,496.1"
143,"37,662.0"
144,"38,600.0"
145,"39,757.8"
146,"39,263.0"
147,"38,139.0"
148,"40,456.0"
149,"39,486.0"
150,"39,446.7"
151,"39,724.0"
152,"40,502.0"
153,"41,366.4"
154,"41,516.8"
155,"40,821.0"
156,"39,707.6"
157,"40,408.7"
158,"40,587.0"
159,"39,948.0"
160,"41,155.0"
161,"40,087.0"
162,"39,565.0"
163,"42,181.0"
164,"42,780.0"
165,"42,277.0"
166,"43,458.0"
167,"43,199.0"
168,"45,481.0"
169,"46,611.1"
170,"46,383.0"
171,"45,825.0"
172,"46,301.0"
173,"45,535.0"
174,"47,035.0"
175,"47,424.0"
176,"47,105.0"
177,"46,836.0"
178,"44,536.4"
