Date,Price
10/03/2022,3.383
10/02/2022,3.395
09/30/2022,3.407
09/29/2022,3.417
09/28/2022,3.3585
09/27/2022,3.2835
09/26/2022,3.2945
09/25/2022,3.3575
09/23/2022,3.343
09/22/2022,3.471
09/21/2022,3.467
09/20/2022,3.503
09/19/2022,3.5125
09/16/2022,3.5165
09/15/2022,3.49
09/14/2022,3.5195
09/13/2022,3.5555
09/12/2022,3.6105
09/09/2022,3.568
09/08/2022,3.527
09/07/2022,3.4305
09/06/2022,3.462
09/05/2022,3.4535
09/04/2022,3.3887
09/02/2022,3.4135
09/01/2022,3.4065
08/31/2022,3.5185
08/30/2022,3.551
08/29/2022,3.6105
08/26/2022,3.697
08/25/2022,3.698
08/24/2022,3.648
08/23/2022,3.6915
08/22/2022,3.6535
08/19/2022,3.671
08/18/2022,3.636
08/17/2022,3.59
08/16/2022,3.6305
08/15/2022,3.6265
08/12/2022,3.679
08/11/2022,3.7165
08/10/2022,3.6605
08/09/2022,3.5985
08/08/2022,3.5985
08/05/2022,3.565
08/04/2022,3.4935
08/03/2022,3.4765
08/02/2022,3.5265
08/01/2022,3.551
07/29/2022,3.5805
07/28/2022,3.4875
07/27/2022,3.441
07/26/2022,3.3975
07/25/2022,3.3665
07/22/2022,3.357
07/21/2022,3.3055
07/20/2022,3.3325
07/19/2022,3.2985
07/18/2022,3.3535
07/15/2022,3.2375
07/14/2022,3.2125
07/13/2022,3.3235
07/12/2022,3.289
07/11/2022,3.432
07/08/2022,3.527
07/07/2022,3.5775
07/06/2022,3.414
07/05/2022,3.425
07/04/2022,3.584
07/03/2022,3.6115
07/01/2022,3.615
06/30/2022,3.7215
06/29/2022,3.7915
06/28/2022,3.7905
06/27/2022,3.775
06/24/2022,3.7565
06/23/2022,3.761
06/22/2022,3.959
06/21/2022,4.0565
06/20/2022,4.011
06/19/2022,4.0375
06/17/2022,4.0395
06/16/2022,4.1365
06/15/2022,4.191
06/14/2022,4.185
06/13/2022,4.234
06/10/2022,4.319
06/09/2022,4.3985
06/08/2022,4.464
06/07/2022,4.455
06/06/2022,4.454
06/03/2022,4.493
06/02/2022,4.569
06/01/2022,4.344
05/31/2022,4.3135
05/30/2022,4.334
05/29/2022,4.3232
05/27/2022,4.324
05/26/2022,4.276
05/25/2022,4.2705
05/24/2022,4.317
05/23/2022,4.353
05/20/2022,4.284
05/19/2022,4.2885
05/18/2022,4.1865
05/17/2022,4.2475
05/16/2022,4.2015
05/13/2022,4.188
05/12/2022,4.118
05/11/2022,4.225
05/10/2022,4.176
05/09/2022,4.213
05/06/2022,4.2845
05/05/2022,4.303
05/04/2022,4.348
05/03/2022,4.2965
05/02/2022,4.279
04/29/2022,4.4205
04/28/2022,4.452
04/27/2022,4.495
04/26/2022,4.486
04/25/2022,4.494
04/22/2022,4.622
04/21/2022,4.7355
04/20/2022,4.6875
04/19/2022,4.7465
04/18/2022,4.8255
04/15/2022,4.7205
04/14/2022,4.7415
04/13/2022,4.736
04/12/2022,4.738
04/11/2022,4.657
04/08/2022,4.7405
04/07/2022,4.708
04/06/2022,4.739
04/05/2022,4.7945
04/04/2022,4.7745
04/01/2022,4.685
03/31/2022,4.746
03/30/2022,4.7425
03/29/2022,4.72
03/28/2022,4.7195
03/25/2022,4.692
03/24/2022,4.733
03/23/2022,4.7595
03/22/2022,4.688
03/21/2022,4.697
03/18/2022,4.708
03/17/2022,4.6715
03/16/2022,4.5825
03/15/2022,4.506
03/14/2022,4.511
03/11/2022,4.5985
03/10/2022,4.615
03/09/2022,4.551
03/08/2022,4.683
03/07/2022,4.6955
03/04/2022,4.8655
03/03/2022,4.73
03/02/2022,4.6455
03/01/2022,4.5815
02/28/2022,4.4385
02/25/2022,4.463
02/24/2022,4.4335
02/23/2022,4.46
02/22/2022,4.4845
02/21/2022,4.4805
02/20/2022,4.5205
02/18/2022,4.494
02/17/2022,4.4965
02/16/2022,4.509
02/15/2022,4.5055
02/14/2022,4.4725
02/11/2022,4.4755
02/10/2022,4.6025
02/09/2022,4.54
02/08/2022,4.4255
02/07/2022,4.4395
02/04/2022,4.457
