Date,Price
10/02/2022,86.11
09/25/2022,79.49
09/18/2022,78.74
09/11/2022,85.11
09/04/2022,86.79
08/28/2022,86.87
08/21/2022,93.06
08/14/2022,90.77
08/07/2022,92.09
07/31/2022,89.01
07/24/2022,98.62
07/17/2022,94.7
07/10/2022,97.59
07/03/2022,104.79
06/26/2022,108.43
06/19/2022,107.62
06/12/2022,109.56
06/05/2022,120.67
05/29/2022,118.87
05/22/2022,115.07
05/15/2022,113.23
05/08/2022,110.49
05/01/2022,109.77
04/24/2022,104.69
04/17/2022,102.07
04/10/2022,106.95
04/03/2022,98.26
03/27/2022,99.27
03/20/2022,113.9
03/13/2022,104.7
03/06/2022,109.33
02/27/2022,115.68
02/20/2022,91.59
02/13/2022,91.07
02/06/2022,93.1
01/30/2022,92.31
01/23/2022,86.82
01/16/2022,85.14
01/09/2022,83.82
01/02/2022,78.9
12/26/2021,75.21
12/19/2021,73.79
12/12/2021,70.86
12/05/2021,71.67
11/28/2021,66.26
11/21/2021,68.15
11/14/2021,76.1
11/07/2021,80.79
10/31/2021,81.27
10/24/2021,83.57
10/17/2021,83.76
10/10/2021,82.28
10/03/2021,79.35
09/26/2021,75.88
09/19/2021,73.98
09/12/2021,71.97
09/05/2021,69.72
08/29/2021,69.29
08/22/2021,68.74
08/15/2021,62.32
08/08/2021,68.44
08/01/2021,68.28
07/25/2021,73.95
07/18/2021,72.07
07/11/2021,71.81
07/04/2021,74.56
06/27/2021,75.16
06/20/2021,74.05
06/13/2021,71.64
06/06/2021,70.91
05/30/2021,69.62
05/23/2021,66.32
05/16/2021,63.58
05/09/2021,65.37
05/02/2021,64.9
04/25/2021,63.58
04/18/2021,62.14
04/11/2021,63.13
04/04/2021,59.32
03/28/2021,61.45
03/21/2021,60.97
03/14/2021,61.42
03/07/2021,65.61
02/28/2021,66.09
02/21/2021,61.5
02/14/2021,59.24
02/07/2021,59.47
01/31/2021,56.85
01/24/2021,52.2
01/17/2021,52.27
01/10/2021,52.36
01/03/2021,52.24
12/27/2020,48.52
12/20/2020,48.23
12/13/2020,49.1
12/06/2020,46.57
11/29/2020,46.26
11/22/2020,45.53
11/15/2020,42.15
11/08/2020,40.13
11/01/2020,37.14
10/25/2020,35.79
10/18/2020,39.85
