Date,Price
12/26/2021,"3,765.36"
12/19/2021,"4,092.69"
12/12/2021,"3,959.77"
12/05/2021,"4,075.23"
11/28/2021,"4,118.06"
11/21/2021,"4,093.56"
11/14/2021,"4,408.00"
11/07/2021,"4,644.58"
10/31/2021,"4,517.27"
10/24/2021,"4,321.56"
10/17/2021,"4,168.78"
10/10/2021,"3,828.25"
10/03/2021,"3,574.23"
09/26/2021,"3,388.26"
09/19/2021,"2,921.91"
09/12/2021,"3,436.22"
09/05/2021,"3,267.27"
08/29/2021,"3,885.00"
08/22/2021,"3,244.01"
08/15/2021,"3,223.91"
08/08/2021,"3,264.69"
08/01/2021,"3,158.00"
07/25/2021,"2,528.85"
07/18/2021,"2,151.19"
07/11/2021,"1,899.28"
07/04/2021,"2,110.48"
06/27/2021,"2,223.15"
06/20/2021,"1,830.86"
06/13/2021,"2,165.40"
06/06/2021,"2,368.74"
05/30/2021,"2,628.85"
05/23/2021,"2,278.15"
05/16/2021,"2,293.37"
05/09/2021,"3,645.15"
05/02/2021,"3,907.53"
04/25/2021,"2,944.09"
04/18/2021,"2,212.13"
04/11/2021,"2,315.96"
04/04/2021,"2,125.43"
03/28/2021,"2,007.98"
03/21/2021,"1,711.84"
03/14/2021,"1,805.25"
03/07/2021,"1,922.10"
02/28/2021,"1,649.23"
02/21/2021,"1,458.20"
02/14/2021,"1,915.74"
02/07/2021,"1,814.61"
01/31/2021,"1,677.06"
01/24/2021,"1,375.95"
01/17/2021,"1,233.22"
01/10/2021,"1,228.51"
01/03/2021,"1,202.23"
