Date,Price
10/02/2022,0.9927
09/25/2022,0.9799
09/18/2022,0.969
09/11/2022,1.0015
09/04/2022,1.0039
08/28/2022,0.9951
08/21/2022,0.9961
08/14/2022,1.0034
08/07/2022,1.0258
07/31/2022,1.0181
07/24/2022,1.0218
07/17/2022,1.021
07/10/2022,1.0087
07/03/2022,1.0183
06/26/2022,1.0428
06/19/2022,1.0554
06/12/2022,1.0498
06/05/2022,1.0515
05/29/2022,1.0718
05/22/2022,1.0727
05/15/2022,1.056
05/08/2022,1.0411
05/01/2022,1.0551
04/24/2022,1.0541
04/17/2022,1.0794
04/10/2022,1.0806
04/03/2022,1.0876
03/27/2022,1.1053
03/20/2022,1.0981
03/13/2022,1.1055
03/06/2022,1.0909
02/27/2022,1.0926
02/20/2022,1.1267
02/13/2022,1.1321
02/06/2022,1.1349
01/30/2022,1.1446
01/23/2022,1.1143
01/16/2022,1.134
01/09/2022,1.1414
01/02/2022,1.1359
12/26/2021,1.1368
12/19/2021,1.1317
12/12/2021,1.1239
12/05/2021,1.1311
11/28/2021,1.1313
11/21/2021,1.1317
11/14/2021,1.1288
11/07/2021,1.145
10/31/2021,1.1566
10/24/2021,1.1561
10/17/2021,1.1647
10/10/2021,1.16
10/03/2021,1.1567
09/26/2021,1.1594
09/19/2021,1.1714
09/12/2021,1.1725
09/05/2021,1.1814
08/29/2021,1.1882
08/22/2021,1.1793
08/15/2021,1.1696
08/08/2021,1.1791
08/01/2021,1.176
07/25/2021,1.187
07/18/2021,1.1771
07/11/2021,1.1805
07/04/2021,1.1873
06/27/2021,1.1864
06/20/2021,1.1933
06/13/2021,1.186
06/06/2021,1.2106
05/30/2021,1.2165
05/23/2021,1.2189
05/16/2021,1.2179
05/09/2021,1.214
05/02/2021,1.2163
04/25/2021,1.2018
04/18/2021,1.2099
04/11/2021,1.1983
04/04/2021,1.1896
03/28/2021,1.1762
03/21/2021,1.1796
03/14/2021,1.1903
03/07/2021,1.1952
02/28/2021,1.1917
02/21/2021,1.2074
02/14/2021,1.2117
02/07/2021,1.2118
01/31/2021,1.2042
01/24/2021,1.2136
01/17/2021,1.2167
01/10/2021,1.2078
01/03/2021,1.2218
12/27/2020,1.2212
12/20/2020,1.2204
12/13/2020,1.2255
12/06/2020,1.2111
11/29/2020,1.212
11/22/2020,1.1962
11/15/2020,1.1853
11/08/2020,1.1832
11/01/2020,1.1872
10/25/2020,1.1647
10/18/2020,1.1859
10/11/2020,1.1718
10/04/2020,1.1824
09/27/2020,1.1713
09/20/2020,1.163
09/13/2020,1.1837
09/06/2020,1.1845
08/30/2020,1.1838
08/23/2020,1.1903
08/16/2020,1.1795
08/09/2020,1.1841
08/02/2020,1.1786
07/26/2020,1.1774
07/19/2020,1.1656
07/12/2020,1.1428
07/05/2020,1.13
06/28/2020,1.1249
06/21/2020,1.1219
06/14/2020,1.1177
06/07/2020,1.1256
05/31/2020,1.1286
05/24/2020,1.1099
05/17/2020,1.0902
05/10/2020,1.0816
05/03/2020,1.0841
04/26/2020,1.0985
04/19/2020,1.0821
04/12/2020,1.0878
04/05/2020,1.0936
03/29/2020,1.0809
03/22/2020,1.1142
03/15/2020,1.0695
03/08/2020,1.1106
03/01/2020,1.1286
02/23/2020,1.1027
02/16/2020,1.0845
02/09/2020,1.0832
02/02/2020,1.0945
01/26/2020,1.1094
01/19/2020,1.1025
01/12/2020,1.109
01/05/2020,1.1122
12/29/2019,1.116
12/22/2019,1.1177
12/15/2019,1.1079
12/08/2019,1.1121
12/01/2019,1.1059
11/24/2019,1.1017
11/17/2019,1.1024
11/10/2019,1.1052
11/03/2019,1.1018
10/27/2019,1.1167
10/20/2019,1.108
10/13/2019,1.1171
10/06/2019,1.1042
09/29/2019,1.0978
09/22/2019,1.0939
09/15/2019,1.1018
09/08/2019,1.1075
09/01/2019,1.1029
08/25/2019,1.0991
08/18/2019,1.1144
08/11/2019,1.109
08/04/2019,1.12
07/28/2019,1.1109
07/21/2019,1.1127
07/14/2019,1.1222
07/07/2019,1.1271
06/30/2019,1.1226
06/23/2019,1.137
06/16/2019,1.1368
06/09/2019,1.1209
06/02/2019,1.1333
05/26/2019,1.1169
05/19/2019,1.1204
05/12/2019,1.1158
05/05/2019,1.1235
04/28/2019,1.1202
04/21/2019,1.1149
04/14/2019,1.1248
04/07/2019,1.1302
03/31/2019,1.1216
03/24/2019,1.1218
03/17/2019,1.1314
03/10/2019,1.1325
03/03/2019,1.124
02/24/2019,1.1377
02/17/2019,1.1343
02/10/2019,1.1295
02/03/2019,1.133
01/27/2019,1.1456
01/20/2019,1.1415
01/13/2019,1.1363
01/06/2019,1.1469
12/30/2018,1.1395
12/23/2018,1.1438
12/16/2018,1.1369
12/09/2018,1.1309
12/02/2018,1.1378
11/25/2018,1.1317
11/18/2018,1.1341
11/11/2018,1.142
11/04/2018,1.1336
10/28/2018,1.1387
10/21/2018,1.1403
10/14/2018,1.1515
10/07/2018,1.1563
09/30/2018,1.1524
09/23/2018,1.1609
09/16/2018,1.175
09/09/2018,1.163
09/02/2018,1.1553
08/26/2018,1.1601
08/19/2018,1.1623
08/12/2018,1.1439
08/05/2018,1.1411
07/29/2018,1.1567
07/22/2018,1.1658
07/15/2018,1.172
07/08/2018,1.1685
07/01/2018,1.1747
06/24/2018,1.1685
06/17/2018,1.1657
06/10/2018,1.1609
06/03/2018,1.1768
05/27/2018,1.1661
05/20/2018,1.1652
05/13/2018,1.1778
05/06/2018,1.1944
04/29/2018,1.196
04/22/2018,1.213
04/15/2018,1.2288
04/08/2018,1.2331
04/01/2018,1.2283
03/25/2018,1.2323
03/18/2018,1.2353
03/11/2018,1.2289
03/04/2018,1.2307
