Date,Price
10/03/2022,52.4
10/02/2022,51.77
10/01/2022,52.91
09/30/2022,53.49
09/29/2022,53.96
09/28/2022,53.28
09/27/2022,52.65
09/26/2022,53.43
09/25/2022,52.52
09/24/2022,53.43
09/23/2022,55.29
09/22/2022,53.55
09/21/2022,51.14
09/20/2022,52.3
09/19/2022,52.91
09/18/2022,52.63
09/17/2022,57.82
09/16/2022,55.95
09/15/2022,56.33
09/14/2022,60.18
09/13/2022,59.1
09/12/2022,61.37
09/11/2022,62.21
09/10/2022,63.28
09/09/2022,61.15
09/08/2022,57.93
09/07/2022,57.3
09/06/2022,54.1
09/05/2022,60.35
09/04/2022,60.9
09/03/2022,60.14
09/02/2022,61.0
09/01/2022,57.55
08/31/2022,53.81
08/30/2022,52.96
08/29/2022,55.8
08/28/2022,53.38
08/27/2022,52.99
08/26/2022,52.67
08/25/2022,56.63
08/24/2022,56.37
08/23/2022,57.08
08/22/2022,57.24
08/21/2022,55.66
08/20/2022,54.09
08/19/2022,53.99
08/18/2022,59.99
08/17/2022,60.5
08/16/2022,61.29
08/15/2022,60.69
08/14/2022,63.13
08/13/2022,63.8
08/12/2022,62.89
08/11/2022,61.84
08/10/2022,61.6
08/09/2022,59.17
08/08/2022,62.63
08/07/2022,61.11
08/06/2022,60.81
08/05/2022,62.48
08/04/2022,59.67
08/03/2022,57.75
08/02/2022,58.08
08/01/2022,59.47
07/31/2022,59.77
07/30/2022,60.4
07/29/2022,60.62
07/28/2022,63.47
07/27/2022,59.0
07/26/2022,53.92
07/25/2022,54.0
07/24/2022,58.39
07/23/2022,56.35
07/22/2022,56.02
07/21/2022,58.04
07/20/2022,57.17
07/19/2022,57.93
07/18/2022,58.64
07/17/2022,55.7
07/16/2022,55.09
07/15/2022,51.77
07/14/2022,51.29
07/13/2022,49.58
07/12/2022,47.34
07/11/2022,48.7
07/10/2022,52.11
07/09/2022,54.07
07/08/2022,51.27
07/07/2022,52.09
07/06/2022,50.35
07/05/2022,49.76
07/04/2022,52.23
07/03/2022,50.9
07/02/2022,50.55
07/01/2022,51.15
06/30/2022,53.83
