Date,Price
10/01/2022,20.698
09/01/2022,19.039
08/01/2022,17.849
07/01/2022,20.247
06/01/2022,20.352
05/01/2022,21.737
04/01/2022,23.085
03/01/2022,25.158
02/01/2022,24.366
01/01/2022,22.419
12/01/2021,23.352
11/01/2021,22.799
10/01/2021,23.966
09/01/2021,22.047
08/01/2021,23.991
07/01/2021,25.56
06/01/2021,26.194
05/01/2021,28.031
04/01/2021,25.873
03/01/2021,24.552
02/01/2021,26.44
01/01/2021,26.937
12/01/2020,26.412
11/01/2020,22.583
10/01/2020,23.694
09/01/2020,23.494
08/01/2020,28.53
07/01/2020,24.304
06/01/2020,18.637
05/01/2020,18.541
04/01/2020,14.973
03/01/2020,14.18
02/01/2020,16.457
01/01/2020,18.052
12/01/2019,17.921
11/01/2019,17.06
10/01/2019,18.124
09/01/2019,16.998
08/01/2019,18.293
07/01/2019,16.444
06/01/2019,15.341
05/01/2019,14.607
04/01/2019,14.984
03/01/2019,15.156
02/01/2019,15.634
01/01/2019,16.12
12/01/2018,15.54
11/01/2018,14.18
10/01/2018,14.324
09/01/2018,14.712
08/01/2018,14.517
07/01/2018,15.597
06/01/2018,16.198
05/01/2018,16.503
04/01/2018,16.401
03/01/2018,16.312
02/01/2018,16.407
01/01/2018,17.284
12/01/2017,17.145
11/01/2017,16.445
10/01/2017,16.726
09/01/2017,16.676
08/01/2017,17.541
07/01/2017,16.835
06/01/2017,16.627
05/01/2017,17.443
04/01/2017,17.262
03/01/2017,18.294
02/01/2017,18.469
01/01/2017,17.577
12/01/2016,15.989
11/01/2016,16.454
10/01/2016,17.835
09/01/2016,19.214
08/01/2016,18.675
07/01/2016,20.393
06/01/2016,18.623
05/01/2016,16.018
04/01/2016,17.819
03/01/2016,15.483
02/01/2016,14.918
01/01/2016,14.255
12/01/2015,13.803
11/01/2015,14.072
10/01/2015,15.584
09/01/2015,14.518
08/01/2015,14.581
07/01/2015,14.765
06/01/2015,15.581
05/01/2015,16.721
04/01/2015,16.153
03/01/2015,16.619
02/01/2015,16.558
01/01/2015,17.228
12/01/2014,15.599
11/01/2014,15.547
10/01/2014,16.126
09/01/2014,17.057
08/01/2014,19.454
07/01/2014,20.432
06/01/2014,21.056
05/01/2014,18.7
04/01/2014,19.174
03/01/2014,19.765
02/01/2014,21.241
01/01/2014,19.138
12/01/2013,19.37
11/01/2013,20.016
10/01/2013,21.882
09/01/2013,21.708
08/01/2013,23.495
07/01/2013,19.643
06/01/2013,19.47
05/01/2013,22.265
04/01/2013,24.185
03/01/2013,28.353
02/01/2013,28.432
01/01/2013,31.38
12/01/2012,30.227
11/01/2012,33.254
10/01/2012,32.342
09/01/2012,34.577
08/01/2012,31.417
07/01/2012,27.941
06/01/2012,27.612
05/01/2012,27.785
04/01/2012,31.016
03/01/2012,32.513
02/01/2012,34.642
01/01/2012,33.29
