Date,Price
01/01/2012,1.94
02/01/2012,2.23
03/01/2012,2.48
04/01/2012,2.21
05/01/2012,1.97
06/01/2012,2.09
07/01/2012,1.83
08/01/2012,1.9
09/01/2012,1.95
10/01/2012,1.88
11/01/2012,2.25
12/01/2012,2.26
01/01/2013,2.5
02/01/2013,2.32
03/01/2013,2.53
04/01/2013,3.6
05/01/2013,6.52
06/01/2013,7.16
07/01/2013,8.95
08/01/2013,11.27
09/01/2013,12.89
10/01/2013,10.66
11/01/2013,8.49
12/01/2013,10.03
01/01/2014,12.09
02/01/2014,16.32
03/01/2014,13.9
04/01/2014,13.86
05/01/2014,13.85
06/01/2014,16.0
07/01/2014,14.89
08/01/2014,17.98
09/01/2014,16.18
10/01/2014,16.11
11/01/2014,16.3
12/01/2014,14.83
01/01/2015,13.57
02/01/2015,13.56
03/01/2015,12.58
04/01/2015,15.07
05/01/2015,16.72
06/01/2015,17.88
07/01/2015,17.74
08/01/2015,16.6
09/01/2015,16.56
10/01/2015,13.8
11/01/2015,15.35
12/01/2015,16.0
01/01/2016,12.75
02/01/2016,12.8
03/01/2016,15.32
04/01/2016,16.05
05/01/2016,14.88
06/01/2016,14.15
07/01/2016,15.65
08/01/2016,14.13
09/01/2016,13.6
10/01/2016,13.18
11/01/2016,12.63
12/01/2016,14.25
01/01/2017,16.8
02/01/2017,16.67
03/01/2017,18.55
04/01/2017,20.94
05/01/2017,22.73
06/01/2017,24.11
07/01/2017,21.56
08/01/2017,23.73
09/01/2017,22.74
10/01/2017,22.1
11/01/2017,20.59
12/01/2017,20.76
01/01/2018,23.62
02/01/2018,22.87
03/01/2018,17.74
04/01/2018,19.59
05/01/2018,18.98
06/01/2018,22.86
07/01/2018,19.88
08/01/2018,20.11
09/01/2018,17.65
10/01/2018,22.49
11/01/2018,23.37
12/01/2018,22.19
01/01/2019,20.47
02/01/2019,21.33
03/01/2019,18.66
04/01/2019,15.91
05/01/2019,12.34
06/01/2019,14.9
07/01/2019,16.11
08/01/2019,15.04
09/01/2019,16.06
10/01/2019,20.99
11/01/2019,22.0
12/01/2019,27.89
01/01/2020,43.37
02/01/2020,44.53
03/01/2020,34.93
04/01/2020,52.13
05/01/2020,55.67
06/01/2020,71.99
07/01/2020,95.38
08/01/2020,166.11
09/01/2020,143.0
10/01/2020,129.35
11/01/2020,189.2
12/01/2020,235.22
01/01/2021,264.51
02/01/2021,225.17
03/01/2021,222.64
04/01/2021,236.48
05/01/2021,208.41
06/01/2021,226.57
07/01/2021,229.07
08/01/2021,245.24
09/01/2021,258.49
10/01/2021,371.33
11/01/2021,381.59
12/01/2021,352.26
01/01/2022,312.24
02/01/2022,290.14
03/01/2022,359.2
04/01/2022,290.25
05/01/2022,252.75
06/01/2022,224.47
07/01/2022,297.15
08/01/2022,275.61
09/01/2022,265.25
10/01/2022,249.44
