"Ngày","Giá"
"16/09/2022",1663.77
"15/09/2022",1663.74
"14/09/2022",1695.8
"13/09/2022",1701.55
"12/09/2022",1724.0700000000002
"09/09/2022",1716.05
"08/09/2022",1707.28
"07/09/2022",1717.69
"06/09/2022",1701.15
"05/09/2022",1710.21
"02/09/2022",1711.44
"01/09/2022",1696.0900000000001
"31/08/2022",1710.7
"30/08/2022",1723.55
"29/08/2022",1737.8200000000002
"26/08/2022",1736.8600000000001
"25/08/2022",1758.44
"24/08/2022",1750.8899999999999
"23/08/2022",1747.67
"22/08/2022",1735.7
"19/08/2022",1747.83
"18/08/2022",1758.2
"17/08/2022",1761.05
"16/08/2022",1775.54
"15/08/2022",1779.3600000000001
"12/08/2022",1801.76
"11/08/2022",1789.45
"10/08/2022",1792.13
"09/08/2022",1794.08
"08/08/2022",1788.52
"05/08/2022",1774.15
"04/08/2022",1790.97
"03/08/2022",1764.9
"02/08/2022",1759.75
"01/08/2022",1771.73
"29/07/2022",1765.22
"28/07/2022",1755.1100000000001
"27/07/2022",1733.8899999999999
"26/07/2022",1717.0
"25/07/2022",1718.78
"22/07/2022",1726.46
"21/07/2022",1718.49
"20/07/2022",1696.4299999999998
"19/07/2022",1711.0700000000002
"18/07/2022",1709.01
"15/07/2022",1706.78
"14/07/2022",1709.45
"13/07/2022",1735.23
"12/07/2022",1725.81
"11/07/2022",1733.67
"08/07/2022",1741.8200000000002
"07/07/2022",1739.6100000000001
"06/07/2022",1738.3
"05/07/2022",1764.35
"04/07/2022",1809.12
"01/07/2022",1810.1799999999998
"30/06/2022",1806.8899999999999
"29/06/2022",1817.1100000000001
"28/06/2022",1819.69
"27/06/2022",1822.73
"24/06/2022",1826.1799999999998
"23/06/2022",1822.4299999999998
"22/06/2022",1837.3899999999999
"21/06/2022",1832.56
"20/06/2022",1838.29
"17/06/2022",1839.35
"16/06/2022",1856.71
"15/06/2022",1833.38
"14/06/2022",1808.1
"13/06/2022",1818.77
"10/06/2022",1870.96
"09/06/2022",1847.6100000000001
"08/06/2022",1853.26
"07/06/2022",1851.97
"06/06/2022",1841.0
"03/06/2022",1850.77
"02/06/2022",1868.13
"01/06/2022",1845.55
"31/05/2022",1837.0900000000001
"30/05/2022",1856.21
"27/05/2022",1852.73
"26/05/2022",1849.8200000000002
"25/05/2022",1852.83
"24/05/2022",1865.9
"23/05/2022",1853.22
"20/05/2022",1845.6799999999998
"19/05/2022",1841.72
"18/05/2022",1815.6100000000001
"17/05/2022",1814.67
"16/05/2022",1823.79
"13/05/2022",1811.15
"12/05/2022",1821.65
"11/05/2022",1852.12
"10/05/2022",1838.1399999999999
"09/05/2022",1853.92
"06/05/2022",1882.96
"05/05/2022",1877.01
"04/05/2022",1881.21
"03/05/2022",1867.79
"02/05/2022",1862.77
"29/04/2022",1896.4
"28/04/2022",1894.3400000000001
"27/04/2022",1885.74
"26/04/2022",1905.56
"25/04/2022",1897.69
"22/04/2022",1929.73
"21/04/2022",1951.49
"20/04/2022",1957.4099999999999
"19/04/2022",1949.8400000000001
"18/04/2022",1978.5
"15/04/2022",1974.54
"14/04/2022",1973.52
"13/04/2022",1977.72
"12/04/2022",1966.5900000000001
"11/04/2022",1953.4299999999998
"08/04/2022",1945.85
"07/04/2022",1932.17
"06/04/2022",1925.3200000000002
"05/04/2022",1923.53
"04/04/2022",1932.44
"01/04/2022",1924.3
"31/03/2022",1937.23
"30/03/2022",1933.06
"29/03/2022",1919.19
"28/03/2022",1923.2
"25/03/2022",1957.4
"24/03/2022",1957.48
"23/03/2022",1943.42
"22/03/2022",1921.44
"21/03/2022",1935.95
"18/03/2022",1921.0900000000001
"17/03/2022",1942.6399999999999
"16/03/2022",1927.9299999999998
"15/03/2022",1917.8400000000001
"14/03/2022",1951.1100000000001
"11/03/2022",1985.29
"10/03/2022",1995.8600000000001
"09/03/2022",1991.49
"08/03/2022",2052.41
"07/03/2022",1998.1100000000001
"04/03/2022",1968.45
"03/03/2022",1935.21
"02/03/2022",1926.1100000000001
"01/03/2022",1943.22
"28/02/2022",1907.9
"25/02/2022",1887.56
"24/02/2022",1903.1399999999999
"23/02/2022",1907.55
"22/02/2022",1898.13
"21/02/2022",1905.63
"18/02/2022",1897.87
"17/02/2022",1897.27
"16/02/2022",1868.37
"15/02/2022",1853.06
"14/02/2022",1870.29
"11/02/2022",1859.96
"10/02/2022",1826.5700000000002
"09/02/2022",1832.4299999999998
"08/02/2022",1825.48
"07/02/2022",1820.31
"04/02/2022",1807.49
"03/02/2022",1804.4
"02/02/2022",1806.5
"01/02/2022",1800.65
"31/01/2022",1796.47
"28/01/2022",1791.03
"27/01/2022",1796.51
"26/01/2022",1818.12
"25/01/2022",1847.56
"24/01/2022",1843.06
"21/01/2022",1833.24
"20/01/2022",1838.3600000000001
"19/01/2022",1839.96
"18/01/2022",1813.54
"17/01/2022",1818.99
"14/01/2022",1817.22
"13/01/2022",1822.0900000000001
"12/01/2022",1825.3200000000002
"11/01/2022",1822.01
"10/01/2022",1801.4099999999999
"07/01/2022",1795.63
"06/01/2022",1788.6799999999998
"05/01/2022",1809.53
"04/01/2022",1814.56
"03/01/2022",1800.85
"31/12/2021",1828.3899999999999
"30/12/2021",1815.01
"29/12/2021",1803.6599999999999
"28/12/2021",1805.37
"27/12/2021",1810.9
"24/12/2021",1808.1100000000001
"23/12/2021",1807.9099999999999
"22/12/2021",1803.4
"21/12/2021",1788.3600000000001
"20/12/2021",1789.3200000000002
"17/12/2021",1797.6799999999998
"16/12/2021",1799.03
"15/12/2021",1777.06
"14/12/2021",1770.1799999999998
"13/12/2021",1786.94
"10/12/2021",1782.51
"09/12/2021",1774.46
"08/12/2021",1782.06
"07/12/2021",1784.04
"06/12/2021",1778.1100000000001
"03/12/2021",1783.74
"02/12/2021",1768.6399999999999
"01/12/2021",1782.6599999999999
"30/11/2021",1773.78
"29/11/2021",1785.01
"26/11/2021",1791.81
"25/11/2021",1788.45
"24/11/2021",1788.5
"23/11/2021",1789.73
