Date,pr
1/1901,24.6243
2/1901,16.2715
3/1901,42.3639
4/1901,83.978
5/1901,162.14
6/1901,219.261
7/1901,258.113
8/1901,243.576
9/1901,266.886
10/1901,207.977
11/1901,141.316
12/1901,57.2224
1/1902,29.6208
2/1902,16.9914
3/1902,32.9155
4/1902,73.069
5/1902,146.329
6/1902,210.238
7/1902,204.606
8/1902,310.489
9/1902,185.866
10/1902,221.432
11/1902,140.036
12/1902,117.289
1/1903,21.2046
2/1903,34.8725
3/1903,28.8778
4/1903,47.4915
5/1903,120.436
6/1903,190.991
7/1903,297.298
8/1903,267.882
9/1903,283.117
10/1903,245.285
11/1903,134.418
12/1903,61.5079
1/1904,15.574
2/1904,12.4653
3/1904,30.8583
4/1904,81.7502
5/1904,241.263
6/1904,293.484
7/1904,323.141
8/1904,268.649
9/1904,272.68
10/1904,219.869
11/1904,163.82
12/1904,71.5156
1/1905,17.2999
2/1905,18.7016
3/1905,60.0681
4/1905,46.6899
5/1905,147.268
6/1905,254.158
7/1905,194.004
8/1905,195.873
9/1905,335.829
10/1905,199.159
11/1905,149.183
12/1905,78.5785
1/1906,50.2122
2/1906,9.32183
3/1906,27.5938
4/1906,49.7408
5/1906,220.613
6/1906,208.202
7/1906,208.181
8/1906,189.32
9/1906,338.62
10/1906,169.922
11/1906,132.931
12/1906,67.2002
1/1907,40.3498
2/1907,30.653
3/1907,36.3949
4/1907,66.3495
5/1907,166.088
6/1907,170.771
7/1907,208.8
8/1907,257.66
9/1907,236.306
10/1907,271.668
11/1907,164.83
12/1907,77.3046
1/1908,80.7093
2/1908,47.4395
3/1908,28.7764
4/1908,50.4546
5/1908,191.498
6/1908,251.748
7/1908,210.755
8/1908,281.205
9/1908,368.128
10/1908,215.135
11/1908,150.493
12/1908,84.2188
1/1909,45.9201
2/1909,36.0978
3/1909,37.4464
4/1909,52.6075
5/1909,231.072
6/1909,229.055
7/1909,283.916
8/1909,334.773
9/1909,277.376
10/1909,232.89
11/1909,172.567
12/1909,54.1028
1/1910,36.1242
2/1910,44.7372
3/1910,70.956
4/1910,58.5153
5/1910,174.457
6/1910,239.387
7/1910,205.434
8/1910,290.031
9/1910,318.33
10/1910,216.036
11/1910,184.151
12/1910,66.4869
1/1911,63.2634
2/1911,64.5233
3/1911,45.7912
4/1911,81.3827
5/1911,198.05
6/1911,228.678
7/1911,245.995
8/1911,227.249
9/1911,238.777
10/1911,195.629
11/1911,119.721
12/1911,53.3474
1/1912,63.421
2/1912,24.1936
3/1912,31.1684
4/1912,106.989
5/1912,153.707
6/1912,188.5
7/1912,250.286
8/1912,221.414
9/1912,233.588
10/1912,175.489
11/1912,240.354
12/1912,52.4105
1/1913,25.3784
2/1913,50.2452
3/1913,28.2743
4/1913,70.576
5/1913,204.433
6/1913,172.088
7/1913,260.643
8/1913,326.81
9/1913,271.822
10/1913,193.0
11/1913,193.165
12/1913,95.5038
1/1914,33.3785
2/1914,34.6085
3/1914,43.9191
4/1914,65.5633
5/1914,152.696
6/1914,267.062
7/1914,277.608
8/1914,233.846
9/1914,189.752
10/1914,248.902
11/1914,124.785
12/1914,98.4724
1/1915,11.1021
2/1915,8.03026
3/1915,45.8907
4/1915,52.4092
5/1915,156.143
6/1915,241.656
7/1915,298.222
8/1915,280.642
9/1915,269.17
10/1915,345.662
11/1915,117.615
12/1915,94.2882
1/1916,20.1506
2/1916,12.4169
3/1916,66.9244
4/1916,50.0665
5/1916,161.311
6/1916,269.343
7/1916,194.574
8/1916,219.406
9/1916,335.736
10/1916,197.402
11/1916,91.5741
12/1916,47.9915
1/1917,23.9796
2/1917,8.5481
3/1917,35.0203
4/1917,48.9509
5/1917,130.391
6/1917,230.82
7/1917,286.253
8/1917,259.477
9/1917,296.054
10/1917,274.979
11/1917,216.404
12/1917,56.4445
1/1918,16.1549
2/1918,28.7493
3/1918,45.0492
4/1918,65.6988
5/1918,229.856
6/1918,250.671
7/1918,247.453
8/1918,289.637
9/1918,299.911
10/1918,269.011
11/1918,137.181
12/1918,53.4269
1/1919,8.2541
2/1919,16.1876
3/1919,25.1618
4/1919,54.0424
5/1919,160.836
6/1919,212.827
7/1919,252.769
8/1919,343.243
9/1919,201.547
10/1919,165.403
11/1919,149.833
12/1919,45.7515
1/1920,21.3448
2/1920,21.7186
3/1920,41.243
4/1920,73.286
5/1920,173.623
6/1920,179.505
7/1920,284.524
8/1920,275.898
9/1920,345.219
10/1920,234.579
11/1920,168.775
12/1920,108.356
1/1921,44.802
2/1921,36.9018
3/1921,88.0249
4/1921,46.7199
5/1921,219.701
6/1921,194.638
7/1921,275.73
8/1921,312.522
9/1921,286.605
10/1921,185.596
11/1921,84.5353
12/1921,41.2094
1/1922,30.5491
2/1922,17.1872
3/1922,52.9871
4/1922,58.2854
5/1922,122.198
6/1922,218.006
7/1922,314.528
8/1922,275.673
9/1922,274.662
10/1922,154.45
11/1922,148.52
12/1922,63.0568
1/1923,23.836
2/1923,17.9395
3/1923,38.0408
4/1923,111.672
5/1923,177.523
6/1923,284.311
7/1923,243.543
8/1923,261.543
9/1923,242.814
10/1923,243.241
11/1923,140.774
12/1923,60.634
1/1924,75.3609
2/1924,16.0587
3/1924,33.8549
4/1924,63.8053
5/1924,185.087
6/1924,294.418
7/1924,348.074
8/1924,307.497
9/1924,180.908
10/1924,221.077
11/1924,84.6819
12/1924,35.7835
1/1925,30.9026
2/1925,6.90479
3/1925,87.2118
4/1925,80.6658
5/1925,168.791
6/1925,240.679
7/1925,258.031
8/1925,190.62
9/1925,251.569
10/1925,176.49
11/1925,112.602
12/1925,52.3399
1/1926,20.9913
2/1926,34.6956
3/1926,53.8812
4/1926,42.5275
5/1926,126.572
6/1926,294.301
7/1926,293.742
8/1926,345.663
9/1926,304.312
10/1926,233.424
11/1926,126.608
12/1926,78.2989
1/1927,10.4273
2/1927,36.0575
3/1927,34.6698
4/1927,99.8502
5/1927,201.222
6/1927,261.271
7/1927,294.837
8/1927,259.195
9/1927,278.555
10/1927,290.49
11/1927,118.582
12/1927,41.2015
1/1928,11.933
2/1928,74.4238
3/1928,22.9793
4/1928,75.3933
5/1928,221.521
6/1928,218.528
7/1928,269.136
8/1928,310.459
9/1928,224.501
10/1928,170.813
11/1928,118.471
12/1928,37.7867
1/1929,32.5601
2/1929,51.1332
3/1929,35.4047
4/1929,65.4184
5/1929,197.306
6/1929,212.383
7/1929,307.946
8/1929,246.803
9/1929,304.67
10/1929,207.602
11/1929,96.4646
12/1929,123.939
1/1930,20.1321
2/1930,45.9573
3/1930,42.8068
4/1930,94.6376
5/1930,220.309
6/1930,214.669
7/1930,234.358
8/1930,231.557
9/1930,220.743
10/1930,123.011
11/1930,170.344
12/1930,49.5406
1/1931,34.456
2/1931,31.5782
3/1931,20.5265
4/1931,44.7925
5/1931,141.451
6/1931,235.028
7/1931,248.834
8/1931,276.803
9/1931,246.852
10/1931,182.984
11/1931,85.587
12/1931,50.3756
1/1932,10.0511
2/1932,38.0725
3/1932,36.6421
4/1932,84.244
5/1932,132.375
6/1932,204.775
7/1932,259.478
8/1932,258.888
9/1932,274.263
10/1932,333.088
11/1932,95.6466
12/1932,37.1543
1/1933,35.3956
2/1933,29.4036
3/1933,39.3073
4/1933,55.1317
5/1933,173.753
6/1933,174.35
7/1933,263.296
8/1933,218.072
9/1933,244.022
10/1933,252.071
11/1933,206.402
12/1933,29.0882
1/1934,11.8828
2/1934,56.3923
3/1934,43.3529
4/1934,60.5347
5/1934,116.22
6/1934,231.59
7/1934,319.73
8/1934,328.396
9/1934,257.08
10/1934,191.179
11/1934,213.371
12/1934,57.9454
1/1935,19.6565
2/1935,39.9791
3/1935,14.7121
4/1935,43.9029
5/1935,195.616
6/1935,183.27
7/1935,314.222
8/1935,190.551
9/1935,240.601
10/1935,173.593
11/1935,213.276
12/1935,112.612
1/1936,27.4304
2/1936,24.1959
3/1936,37.9357
4/1936,37.8698
5/1936,152.429
6/1936,216.941
7/1936,237.367
8/1936,346.019
9/1936,255.869
10/1936,150.765
11/1936,80.9889
12/1936,72.2895
1/1937,41.7636
2/1937,53.3205
3/1937,11.2434
4/1937,53.9171
5/1937,193.068
6/1937,188.31
7/1937,246.202
8/1937,321.046
9/1937,278.324
10/1937,143.887
11/1937,110.772
12/1937,63.3307
1/1938,14.5836
2/1938,20.9255
3/1938,15.827
4/1938,60.4361
5/1938,146.007
6/1938,214.523
7/1938,252.637
8/1938,280.744
9/1938,288.84
10/1938,299.608
11/1938,76.2557
12/1938,43.5625
1/1939,17.223
2/1939,31.9604
3/1939,36.8148
4/1939,52.3682
5/1939,129.439
6/1939,195.422
7/1939,311.489
8/1939,330.333
9/1939,325.138
10/1939,149.853
11/1939,164.525
12/1939,28.0971
1/1940,7.3929
2/1940,15.3306
3/1940,29.6858
4/1940,48.388
5/1940,165.559
6/1940,197.674
7/1940,293.258
8/1940,260.936
9/1940,304.948
10/1940,169.959
11/1940,204.95
12/1940,40.7774
1/1941,9.91701
2/1941,27.1684
3/1941,28.7968
4/1941,68.2371
5/1941,191.81
6/1941,264.869
7/1941,305.046
8/1941,300.364
9/1941,229.46
10/1941,285.679
11/1941,144.663
12/1941,104.768
1/1942,20.7474
2/1942,21.9495
3/1942,71.2139
4/1942,98.805
5/1942,133.996
6/1942,254.37
7/1942,239.318
8/1942,251.567
9/1942,177.717
10/1942,287.344
11/1942,130.93
12/1942,72.1321
1/1943,12.9288
2/1943,14.9516
3/1943,48.805
4/1943,103.839
5/1943,139.367
6/1943,188.272
7/1943,244.867
8/1943,304.312
9/1943,275.104
10/1943,151.378
11/1943,140.753
12/1943,72.9583
1/1944,31.522
2/1944,18.4373
3/1944,16.1635
4/1944,77.2718
5/1944,173.749
6/1944,204.048
7/1944,254.998
8/1944,351.924
9/1944,224.547
10/1944,324.37
11/1944,212.886
12/1944,64.086
1/1945,29.3748
2/1945,28.2109
3/1945,32.4914
4/1945,70.2638
5/1945,208.976
6/1945,278.014
7/1945,198.92
8/1945,361.416
9/1945,352.63
10/1945,126.243
11/1945,236.292
12/1945,73.7124
1/1946,12.4865
2/1946,11.4236
3/1946,27.429
4/1946,79.4929
5/1946,239.019
6/1946,227.448
7/1946,288.481
8/1946,295.093
9/1946,239.455
10/1946,264.349
11/1946,115.59
12/1946,42.0222
1/1947,46.2888
2/1947,12.9099
3/1947,46.3048
4/1947,106.132
5/1947,150.247
6/1947,244.669
7/1947,343.111
8/1947,212.042
9/1947,265.018
10/1947,149.041
11/1947,87.1868
12/1947,44.1613
1/1948,8.17599
2/1948,27.8435
3/1948,44.7903
4/1948,95.181
5/1948,218.879
6/1948,220.292
7/1948,274.978
8/1948,284.89
9/1948,245.094
10/1948,201.705
11/1948,89.3474
12/1948,47.2336
1/1949,9.1731
2/1949,28.5444
3/1949,29.2816
4/1949,86.6358
5/1949,140.376
6/1949,199.17
7/1949,212.931
8/1949,295.589
9/1949,381.194
10/1949,260.077
11/1949,240.586
12/1949,63.2456
1/1950,44.342
2/1950,40.2018
3/1950,16.0099
4/1950,52.8408
5/1950,187.613
6/1950,266.47
7/1950,208.643
8/1950,257.701
9/1950,259.092
10/1950,315.713
11/1950,138.74
12/1950,30.5932
1/1951,28.2552
2/1951,9.89431
3/1951,40.0835
4/1951,69.5387
5/1951,170.409
6/1951,271.379
7/1951,187.883
8/1951,317.969
9/1951,248.647
10/1951,342.208
11/1951,215.261
12/1951,43.4312
1/1952,8.62317
2/1952,18.5838
3/1952,59.2625
4/1952,77.0936
5/1952,121.345
6/1952,218.552
7/1952,295.145
8/1952,291.797
9/1952,283.42
10/1952,299.681
11/1952,125.311
12/1952,34.2702
1/1953,63.7258
2/1953,41.6708
3/1953,63.2594
4/1953,54.6811
5/1953,218.551
6/1953,280.698
7/1953,202.472
8/1953,289.45
9/1953,214.603
10/1953,215.955
11/1953,151.3
12/1953,67.1577
1/1954,71.7646
2/1954,22.0982
3/1954,80.4583
4/1954,64.1059
5/1954,185.541
6/1954,188.821
7/1954,194.582
8/1954,318.111
9/1954,293.847
10/1954,169.63
11/1954,65.9234
12/1954,40.0483
1/1955,10.6629
2/1955,5.92379
3/1955,38.7776
4/1955,59.0041
5/1955,202.501
6/1955,232.341
7/1955,182.859
8/1955,302.819
9/1955,299.774
10/1955,147.401
11/1955,189.482
12/1955,44.682
1/1956,12.6827
2/1956,60.3907
3/1956,46.4481
4/1956,87.3119
5/1956,242.118
6/1956,200.411
7/1956,330.315
8/1956,330.54
9/1956,231.397
10/1956,159.779
11/1956,94.8356
12/1956,28.1846
1/1957,16.5506
2/1957,24.8185
3/1957,105.836
4/1957,73.0314
5/1957,150.467
6/1957,221.549
7/1957,254.498
8/1957,213.83
9/1957,189.699
10/1957,231.771
11/1957,114.019
12/1957,28.5903
1/1958,44.3655
2/1958,39.4062
3/1958,25.6713
4/1958,48.1203
5/1958,130.552
6/1958,235.4
7/1958,238.915
8/1958,223.522
9/1958,286.886
10/1958,231.245
11/1958,69.39
12/1958,23.4729
1/1959,13.9816
2/1959,25.5618
3/1959,58.1292
4/1959,62.2848
5/1959,192.662
6/1959,159.195
7/1959,246.782
8/1959,277.33
9/1959,267.778
10/1959,149.516
11/1959,76.0674
12/1959,74.5948
1/1960,42.9277
2/1960,15.1178
3/1960,38.1167
4/1960,24.6366
5/1960,167.332
6/1960,201.088
7/1960,297.743
8/1960,298.016
9/1960,278.579
10/1960,290.829
11/1960,181.341
12/1960,49.495
1/1961,16.7633
2/1961,39.9448
3/1961,49.9933
4/1961,79.0586
5/1961,161.609
6/1961,216.878
7/1961,238.33
8/1961,320.406
9/1961,357.624
10/1961,296.755
11/1961,154.074
12/1961,105.554
1/1962,27.8227
2/1962,13.3585
3/1962,48.0702
4/1962,76.8722
5/1962,155.254
6/1962,249.024
7/1962,199.596
8/1962,239.985
9/1962,276.677
10/1962,131.581
11/1962,99.4453
12/1962,27.7105
1/1963,60.6225
2/1963,12.1207
3/1963,73.7313
4/1963,39.6166
5/1963,102.209
6/1963,232.851
7/1963,287.643
8/1963,271.739
9/1963,300.933
10/1963,234.959
11/1963,276.011
12/1963,71.4485
1/1964,29.4687
2/1964,12.6635
3/1964,34.9143
4/1964,79.995
5/1964,151.032
6/1964,261.29
7/1964,250.304
8/1964,299.021
9/1964,263.484
10/1964,340.341
11/1964,165.577
12/1964,53.5429
1/1965,6.35306
2/1965,17.487
3/1965,22.8221
4/1965,77.7146
5/1965,167.692
6/1965,306.222
7/1965,270.686
8/1965,177.538
9/1965,223.667
10/1965,183.016
11/1965,153.412
12/1965,66.2776
1/1966,24.2137
2/1966,11.913
3/1966,96.842
4/1966,60.2959
5/1966,170.643
6/1966,264.742
7/1966,239.49
8/1966,226.016
9/1966,204.929
10/1966,244.65
11/1966,130.818
12/1966,126.199
1/1967,72.0911
2/1967,16.7051
3/1967,14.9655
4/1967,88.283
5/1967,128.035
6/1967,198.301
7/1967,282.757
8/1967,204.428
9/1967,266.015
10/1967,142.971
11/1967,167.032
12/1967,35.6541
1/1968,19.7309
2/1968,36.3795
3/1968,30.9603
4/1968,60.0804
5/1968,139.793
6/1968,207.212
7/1968,186.373
8/1968,341.414
9/1968,328.595
10/1968,167.909
11/1968,107.247
12/1968,34.367
1/1969,53.5427
2/1969,22.6361
3/1969,19.6954
4/1969,69.8516
5/1969,180.842
6/1969,206.231
7/1969,277.698
8/1969,210.241
9/1969,247.992
10/1969,170.468
11/1969,89.4762
12/1969,39.4452
1/1970,44.1394
2/1970,36.7697
3/1970,105.861
4/1970,76.8441
5/1970,172.554
6/1970,228.048
7/1970,221.354
8/1970,277.204
9/1970,268.33
10/1970,152.543
11/1970,170.215
12/1970,264.869
1/1971,13.5955
2/1971,32.1053
3/1971,18.3556
4/1971,61.7997
5/1971,190.003
6/1971,254.722
7/1971,332.039
8/1971,341.976
9/1971,234.766
10/1971,205.593
11/1971,69.843
12/1971,113.912
1/1972,47.2953
2/1972,42.804
3/1972,25.2106
4/1972,81.4564
5/1972,151.225
6/1972,209.444
7/1972,235.879
8/1972,366.248
9/1972,239.557
10/1972,221.025
11/1972,225.688
12/1972,206.736
1/1973,13.5547
2/1973,14.1375
3/1973,40.9721
4/1973,100.283
5/1973,191.393
6/1973,195.0
7/1973,270.141
8/1973,278.58
9/1973,340.563
10/1973,199.971
11/1973,165.414
12/1973,34.0581
1/1974,24.6507
2/1974,17.5783
3/1974,48.985
4/1974,91.247
5/1974,145.679
6/1974,225.076
7/1974,235.788
8/1974,263.313
9/1974,199.708
10/1974,297.075
11/1974,287.938
12/1974,69.3372
1/1975,125.846
2/1975,67.0251
3/1975,34.9644
4/1975,66.1848
5/1975,211.233
6/1975,230.507
7/1975,212.028
8/1975,302.727
9/1975,263.255
10/1975,185.692
11/1975,157.532
12/1975,96.3735
1/1976,11.1065
2/1976,30.9359
3/1976,38.3145
4/1976,84.9112
5/1976,164.889
6/1976,187.168
7/1976,203.204
8/1976,234.414
9/1976,250.884
10/1976,230.989
11/1976,131.218
12/1976,35.7602
1/1977,39.7984
2/1977,8.17531
3/1977,13.5164
4/1977,65.1937
5/1977,97.967
6/1977,170.78
7/1977,372.285
8/1977,204.762
9/1977,243.936
10/1977,174.588
11/1977,99.6481
12/1977,96.4195
1/1978,45.7477
2/1978,19.1125
3/1978,40.2511
4/1978,78.3761
5/1978,201.661
6/1978,292.79
7/1978,268.256
8/1978,297.692
9/1978,380.762
10/1978,226.037
11/1978,135.493
12/1978,26.9429
1/1979,20.3164
2/1979,37.0601
3/1979,17.6979
4/1979,90.0614
5/1979,226.072
6/1979,295.367
7/1979,194.324
8/1979,321.077
9/1979,290.969
10/1979,112.053
11/1979,64.5246
12/1979,30.5379
1/1980,44.148
2/1980,32.3736
3/1980,22.0575
4/1980,77.965
5/1980,170.399
6/1980,209.781
7/1980,290.043
8/1980,297.42
9/1980,293.439
10/1980,228.28
11/1980,146.679
12/1980,48.8457
1/1981,21.0912
2/1981,25.6567
3/1981,35.2458
4/1981,87.5979
5/1981,193.261
6/1981,258.401
7/1981,233.524
8/1981,247.904
9/1981,189.447
10/1981,252.046
11/1981,247.691
12/1981,25.2598
1/1982,19.8096
2/1982,30.8827
3/1982,27.517
4/1982,83.2011
5/1982,112.553
6/1982,195.396
7/1982,219.49
8/1982,291.473
9/1982,318.709
10/1982,210.566
11/1982,210.317
12/1982,55.1107
1/1983,37.0237
2/1983,22.6878
3/1983,33.1446
4/1983,45.6253
5/1983,157.474
6/1983,172.871
7/1983,275.047
8/1983,253.341
9/1983,221.972
10/1983,394.969
11/1983,139.66
12/1983,97.918
1/1984,5.83717
2/1984,11.4614
3/1984,17.4152
4/1984,87.9557
5/1984,191.054
6/1984,243.032
7/1984,194.143
8/1984,321.972
9/1984,242.002
10/1984,289.055
11/1984,218.654
12/1984,46.5094
1/1985,67.3063
2/1985,29.1397
3/1985,36.9321
4/1985,103.16
5/1985,151.181
6/1985,187.898
7/1985,178.983
8/1985,311.568
9/1985,283.809
10/1985,251.037
11/1985,156.52
12/1985,27.6433
1/1986,11.0462
2/1986,9.809
3/1986,8.60206
4/1986,121.734
5/1986,291.203
6/1986,270.942
7/1986,294.939
8/1986,253.733
9/1986,271.331
10/1986,291.242
11/1986,187.273
12/1986,98.2771
1/1987,11.4246
2/1987,12.2196
3/1987,20.401
4/1987,59.3829
5/1987,144.906
6/1987,184.097
7/1987,288.798
8/1987,265.338
9/1987,251.228
10/1987,167.644
11/1987,148.794
12/1987,26.1798
1/1988,37.0765
2/1988,38.3777
3/1988,18.9729
4/1988,55.5371
5/1988,208.783
6/1988,159.065
7/1988,183.077
8/1988,239.23
9/1988,173.549
10/1988,436.864
11/1988,107.926
12/1988,30.9584
1/1989,39.5623
2/1989,6.98347
3/1989,71.3583
4/1989,56.2046
5/1989,204.482
6/1989,268.449
7/1989,239.45
8/1989,179.612
9/1989,236.607
10/1989,254.702
11/1989,83.563
12/1989,55.3055
1/1990,31.5395
2/1990,65.8165
3/1990,65.6968
4/1990,63.8932
5/1990,193.941
6/1990,240.437
7/1990,323.093
8/1990,188.221
9/1990,290.523
10/1990,210.815
11/1990,231.05
12/1990,29.233
1/1991,18.118
2/1991,14.8579
3/1991,46.4984
4/1991,36.1466
5/1991,107.401
6/1991,238.163
7/1991,253.61
8/1991,270.235
9/1991,232.92
10/1991,197.934
11/1991,105.337
12/1991,79.4345
1/1992,142.585
2/1992,53.1401
3/1992,36.6519
4/1992,35.3283
5/1992,116.384
6/1992,209.271
7/1992,319.908
8/1992,187.041
9/1992,221.532
10/1992,160.365
11/1992,83.6364
12/1992,96.1109
1/1993,24.8236
2/1993,31.2285
3/1993,35.1611
4/1993,76.2163
5/1993,174.115
6/1993,211.718
7/1993,196.471
8/1993,268.77
9/1993,241.719
10/1993,167.781
11/1993,119.581
12/1993,72.4858
1/1994,13.2944
2/1994,32.9093
3/1994,62.2816
4/1994,35.6912
5/1994,235.487
6/1994,248.917
7/1994,405.597
8/1994,302.481
9/1994,320.645
10/1994,204.564
11/1994,138.529
12/1994,103.222
1/1995,33.7922
2/1995,21.7449
3/1995,30.9501
4/1995,39.9035
5/1995,151.754
6/1995,229.87
7/1995,330.118
8/1995,287.467
9/1995,227.125
10/1995,218.123
11/1995,226.792
12/1995,35.174
1/1996,21.7386
2/1996,17.3055
3/1996,57.5022
4/1996,86.9718
5/1996,152.643
6/1996,203.677
7/1996,221.349
8/1996,288.609
9/1996,348.562
10/1996,207.102
11/1996,276.233
12/1996,38.6427
1/1997,60.4016
2/1997,24.7278
3/1997,72.0989
4/1997,115.976
5/1997,158.51
6/1997,182.177
7/1997,310.72
8/1997,245.088
9/1997,220.01
10/1997,238.346
11/1997,81.0013
12/1997,101.692
1/1998,20.8839
2/1998,47.1918
3/1998,35.0868
4/1998,77.234
5/1998,146.659
6/1998,247.579
7/1998,218.192
8/1998,244.635
9/1998,249.119
10/1998,169.381
11/1998,215.888
12/1998,100.497
1/1999,64.4466
2/1999,15.4733
3/1999,37.9691
4/1999,84.0535
5/1999,234.418
6/1999,219.997
7/1999,294.207
8/1999,289.914
9/1999,241.294
10/1999,255.414
11/1999,390.544
12/1999,115.409
1/2000,30.9587
2/2000,33.7771
3/2000,23.422
4/2000,98.7361
5/2000,202.395
6/2000,213.541
7/2000,331.229
8/2000,213.767
9/2000,227.674
10/2000,327.404
11/2000,84.2797
12/2000,41.7905
1/2001,30.8024
2/2001,25.0334
3/2001,72.9405
4/2001,61.0906
5/2001,202.449
6/2001,212.585
7/2001,350.803
8/2001,342.963
9/2001,241.42
10/2001,244.479
11/2001,234.133
12/2001,69.4084
1/2002,20.0285
2/2002,21.6108
3/2002,58.0542
4/2002,60.3292
5/2002,209.927
6/2002,245.751
7/2002,338.752
8/2002,297.607
9/2002,260.997
10/2002,222.83
11/2002,131.848
12/2002,244.606
1/2003,34.9598
2/2003,31.1657
3/2003,45.2812
4/2003,61.8224
5/2003,166.842
6/2003,195.692
7/2003,177.339
8/2003,331.326
9/2003,323.851
10/2003,141.691
11/2003,65.44
12/2003,25.8375
1/2004,63.1595
2/2004,34.795
3/2004,28.3406
4/2004,83.6009
5/2004,179.468
6/2004,196.401
