Date,tas
1/1901,19.7442
2/1901,20.2406
3/1901,22.1572
4/1901,25.3467
5/1901,26.7649
6/1901,27.0544
7/1901,27.0121
8/1901,26.6755
9/1901,26.0196
10/1901,24.6867
11/1901,22.4678
12/1901,20.2175
1/1902,19.8541
2/1902,19.6138
3/1902,22.9779
4/1902,25.453
5/1902,27.2245
6/1902,27.0939
7/1902,27.0022
8/1902,26.7933
9/1902,25.9517
10/1902,24.6336
11/1902,22.8853
12/1902,21.0551
1/1903,19.4264
2/1903,20.1201
3/1903,22.9564
4/1903,25.9762
5/1903,26.6195
6/1903,26.8618
7/1903,26.8755
8/1903,26.3445
9/1903,25.5127
10/1903,24.5631
11/1903,21.7019
12/1903,18.8439
1/1904,18.4279
2/1904,20.4542
3/1904,21.7418
4/1904,24.7911
5/1904,26.3276
6/1904,26.8603
7/1904,26.7429
8/1904,26.6843
9/1904,26.1428
10/1904,24.8926
11/1904,22.0231
12/1904,19.3703
1/1905,20.6991
2/1905,20.5459
3/1905,21.1576
4/1905,24.917
5/1905,26.9441
6/1905,27.1493
7/1905,27.0759
8/1905,26.7677
9/1905,26.2378
10/1905,24.8232
11/1905,22.7442
12/1905,21.9876
1/1906,20.1325
2/1906,21.3171
3/1906,21.8135
4/1906,25.4722
5/1906,27.1468
6/1906,27.5584
7/1906,27.3663
8/1906,27.0919
9/1906,26.5702
10/1906,24.5204
11/1906,21.9425
12/1906,20.5509
1/1907,19.805
2/1907,20.4623
3/1907,21.5803
4/1907,24.7837
5/1907,26.354
6/1907,26.6484
7/1907,26.907
8/1907,26.7279
9/1907,26.01
10/1907,25.1829
11/1907,23.0292
12/1907,19.4259
1/1908,19.8763
2/1908,20.2923
3/1908,21.5604
4/1908,25.0713
5/1908,26.4725
6/1908,26.9422
7/1908,26.9094
8/1908,26.7525
9/1908,26.1199
10/1908,24.7825
11/1908,22.0904
12/1908,20.2436
1/1909,19.5941
2/1909,20.8169
3/1909,22.2486
4/1909,25.23
5/1909,26.0395
6/1909,27.169
7/1909,26.884
8/1909,26.9464
9/1909,26.5795
10/1909,25.2496
11/1909,22.5366
12/1909,20.1225
1/1910,20.1849
2/1910,20.3049
3/1910,21.5811
4/1910,24.9876
5/1910,27.1076
6/1910,27.0149
7/1910,26.8705
8/1910,26.8756
9/1910,25.7518
10/1910,24.4061
11/1910,22.3868
12/1910,19.1722
1/1911,19.2574
2/1911,20.2443
3/1911,22.0751
4/1911,25.2675
5/1911,26.549
6/1911,27.339
7/1911,26.9263
8/1911,27.0404
9/1911,26.3742
10/1911,24.5429
11/1911,23.149
12/1911,21.1391
1/1912,19.5082
2/1912,20.7848
3/1912,22.8214
4/1912,25.4073
5/1912,27.731
6/1912,27.5964
7/1912,26.6894
8/1912,26.3784
9/1912,25.6256
10/1912,24.4241
11/1912,21.6739
12/1912,20.008
1/1913,19.2835
2/1913,20.8853
3/1913,21.6073
4/1913,25.3371
5/1913,25.8148
6/1913,26.9078
7/1913,26.5561
8/1913,26.38
9/1913,25.8716
10/1913,24.5162
11/1913,21.8009
12/1913,19.7986
1/1914,19.3866
2/1914,20.9679
3/1914,22.5045
4/1914,25.6753
5/1914,27.3677
6/1914,26.9035
7/1914,27.0663
8/1914,26.4538
9/1914,25.8293
10/1914,24.3534
11/1914,22.4094
12/1914,20.9227
1/1915,19.7414
2/1915,21.5297
3/1915,22.3597
4/1915,25.8695
5/1915,26.4653
6/1915,27.2969
7/1915,26.8358
8/1915,26.9775
9/1915,25.8434
10/1915,25.2105
11/1915,22.2299
12/1915,19.5096
1/1916,18.9564
2/1916,20.463
3/1916,22.0107
4/1916,25.4573
5/1916,27.0004
6/1916,26.8282
7/1916,27.0423
8/1916,26.8892
9/1916,25.9188
10/1916,24.2556
11/1916,21.7417
12/1916,19.7609
1/1917,18.8209
2/1917,20.164
3/1917,21.0427
4/1917,25.1675
5/1917,26.5491
6/1917,26.7358
7/1917,26.6752
8/1917,26.4568
9/1917,25.9243
10/1917,24.4013
11/1917,22.1639
12/1917,19.336
1/1918,17.9119
2/1918,19.5917
3/1918,21.7097
4/1918,24.6076
5/1918,26.18
6/1918,26.7117
7/1918,27.279
8/1918,26.4162
9/1918,26.384
10/1918,25.0389
11/1918,22.7141
12/1918,21.4196
1/1919,20.1148
2/1919,20.4996
3/1919,23.4725
4/1919,25.9429
5/1919,27.0922
6/1919,27.2809
7/1919,26.971
8/1919,26.9791
9/1919,25.7586
10/1919,24.3741
11/1919,22.2408
12/1919,20.4771
1/1920,18.9345
2/1920,20.1344
3/1920,22.329
4/1920,25.1469
5/1920,26.9748
6/1920,27.1841
7/1920,27.1981
8/1920,26.778
9/1920,26.3178
10/1920,24.2482
11/1920,23.028
